[1418, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:15PM, FG B050 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2235, O-X-LAB, 13 Wk, Tu 11:45AM - 2:30PM, Tu 11:45AM - 2:30PM, Tu 11:45AM - 2:30PM, Tu 11:45AM - 2:30PM, Tu 11:45AM - 2:30PM, Tu 11:45AM - 2:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2232, T-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, H 820 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2233, T TA-TUT, 13 Wk, Fr 2:45PM - 4:35PM, MB 1.437 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2237, T TB-TUT, 13 Wk, Fr 4:15PM - 6:05PM, H 544 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2241, V-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, H 920 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2242, V VA-TUT, 13 Wk, Tu 2:45PM - 4:35PM, H 459 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2203, V VB-TUT, 13 Wk, Fr 3:15PM - 5:05PM, MB S2.285 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2207, X-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, FG B040 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2208, X XA-TUT, 13 Wk, Fr 4:15PM - 6:05PM, H 540 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2212, X XB-TUT, 13 Wk, Fr 2:45PM - 4:30PM, H 439 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4965, Z-X-LAB, 13 Wk, TBA, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2245, T-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, H 553 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2247, T TA-TUT, 13 Wk, Tu 12:00PM - 12:50PM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2246, T TB-TUT, 13 Wk, Th 12:00PM - 12:50PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1488, CV-LEC, 6.5 Wk 2, TuTh 8:45AM - 11:15AM, FG B060 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1485, CVCE-TUT, 6.5 Wk 2, TuTh 1:15PM - 2:55PM, FG B055 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1486, CVCF-TUT, 6.5 Wk 2, TuTh 1:15PM - 2:55PM, FG B080 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4407, CW-LEC, 6.5 Wk 2, WeFr 8:45AM - 11:15AM, FG B060 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4451, CWCE-TUT, 6.5 Wk 2, WeFr 1:15PM - 2:55PM, H 403 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4452, CWCF-TUT, 6.5 Wk 2, WeFr 1:15PM - 2:55PM, H 423 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[6744, F-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, MB S2.330 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6745, F FA-TUT, 13 Wk, We 8:20AM - 10:10AM, MB S2.115 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6746, F FB-TUT, 13 Wk, Fr 8:20AM - 10:10AM, MB S1.430 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8200, R-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8201, R RA-TUT, 13 Wk, Fr 4:15PM - 5:55PM, FG B070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8202, R RB-TUT, 13 Wk, Fr 8:10AM - 10:00AM, FG B070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2283, T-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, FG C080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2279, T TA-TUT, 13 Wk, Fr 11:45AM - 1:25PM, H 433 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2278, T TB-TUT, 13 Wk, Fr 4:15PM - 5:55PM, FG B030 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2250, V-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2254, V VA-TUT, 13 Wk, Fr 11:45AM - 1:25PM, MB S1.115 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2255, V VB-TUT, 13 Wk, Fr 11:45AM - 1:25PM, MB S1.235 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2253, W-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, MB S2.330 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2251, W WA-TUT, 13 Wk, Fr 11:45AM - 1:25PM, MB 5.265 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2256, W WB-TUT, 13 Wk, Fr 11:45AM - 1:25PM, MB 5.275 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2252, XX-LEC, 13 Wk, Tu 5:45PM - 8:15PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2248, XXXE-TUT, 13 Wk, Fr 3:30PM - 5:10PM, MB 2.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2249, XXXF-TUT, 13 Wk, Fr 3:30PM - 5:10PM, MB 5.265 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2284, F-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, FG C080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2285, F FA-TUT, 13 Wk, Mo 5:45PM - 7:35PM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2286, F FB-TUT, 13 Wk, Mo 2:15PM - 4:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[9484, F FC-TUT, 13 Wk, We 5:45PM - 7:35PM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2259, U-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, MB S2.210 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2257, U UA-TUT, 13 Wk, Mo 2:45PM - 4:35PM, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2258, U UB-TUT, 13 Wk, Fr 2:45PM - 4:35PM, MB S1.235 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7362, U UC-TUT, 13 Wk, Th 1:15PM - 3:05PM, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7740, W-LEC, 13 Wk, WeFr 4:15PM - 5:30PM, H 531 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7741, W WA-TUT, 13 Wk, Mo 2:45PM - 4:35PM, H 544 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7742, W WB-TUT, 13 Wk, Fr 2:45PM - 4:35PM, MB S1.115 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7743, W WC-TUT, 13 Wk, Th 1:15PM - 3:05PM, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1498, AA-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, MB 1.210 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019,  ]
[1497, AAAE-TUT, 6.5 Wk 1, Th 4:15PM - 6:05PM, MB S2.465 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1496, AAAF-TUT, 6.5 Wk 1, Tu 4:15PM - 6:05PM, MB S2.465 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019,  ]
[1495, AAAG-TUT, 6.5 Wk 1, Th 4:15PM - 6:05PM, H 437 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1494, AAAH-TUT, 6.5 Wk 1, Tu 4:15PM - 6:05PM, MB 3.285 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1493, AB-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 407 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1492, ABAI-TUT, 6.5 Wk 1, Mo 6:30PM - 8:20PM, MB S2.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1489, ABAJ-TUT, 6.5 Wk 1, We 6:30PM - 8:20PM, H 400-2 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1490, ABAK-TUT, 6.5 Wk 1, Mo 4:15PM - 6:05PM, MB 2.255 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1491, ABAL-TUT, 6.5 Wk 1, We 4:15PM - 6:05PM, MB 2.255 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3547, CC-LEC, 6.5 Wk 2, MoWe 2:45PM - 5:30PM, H 535 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3548, CCCE-TUT, 6.5 Wk 2, Mo 5:45PM - 7:35PM, MB S2.105 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3549, CCCF-TUT, 6.5 Wk 2, We 5:45PM - 7:35PM, H 615 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3550, CCCG-TUT, 6.5 Wk 2, Mo 11:45AM - 1:35PM, MB S2.105 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3551, CCCH-TUT, 6.5 Wk 2, We 11:45AM - 1:35PM, H 400 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2289, FF-LEC, 13 Wk, Fr 5:45PM - 8:15PM, MB 3.270 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2288, FFFA-TUT, 13 Wk, Mo 5:45PM - 6:35PM, H 615 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2287, FFFB-TUT, 13 Wk, Mo 6:45PM - 7:35PM, H 615 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2302, FFFC-TUT, 13 Wk, Mo 5:45PM - 6:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2301, G-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, H 435 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2300, G GA-TUT, 13 Wk, Tu 5:45PM - 6:35PM, H 400 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2299, G GB-TUT, 13 Wk, Tu 6:45PM - 7:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2298, G GC-TUT, 13 Wk, Tu 5:45PM - 6:35PM, H 615 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2297, H-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, H 415 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2296, H HA-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 537 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2295, H HB-TUT, 13 Wk, Mo 6:45PM - 7:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2294, H HC-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 400 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2293, JJ-LEC, 13 Wk, Fr 5:45PM - 8:15PM, H 415 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2292, JJJA-TUT, 13 Wk, We 5:45PM - 6:35PM, H 615 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2291, JJJB-TUT, 13 Wk, We 6:45PM - 7:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2290, JJJC-TUT, 13 Wk, We 5:45PM - 6:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2267, R-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, H 435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2268, R RA-TUT, 13 Wk, Tu 5:45PM - 6:35PM, H 400 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2264, R RB-TUT, 13 Wk, Tu 5:45PM - 6:35PM, H 400-2 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2260, R RC-TUT, 13 Wk, Th 6:45PM - 7:35PM, H 400 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2261, R RD-TUT, 13 Wk, Th 6:45PM - 7:35PM, H 400-2 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2262, SS-LEC, 13 Wk, Mo 6:00PM - 8:30PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2263, SSSA-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 400 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2269, SSSB-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 400-2 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2265, SSSC-TUT, 13 Wk, Tu 6:45PM - 7:35PM, H 400 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2266, SSSD-TUT, 13 Wk, Tu 6:45PM - 7:35PM, H 400-2 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1500, IE-LEC, 13 Wk, TBA, TBA, Staff, 05/06/2019 - 08/12/2019, Summer 2019]
[2303, IE-LEC, 13 Wk, TBA, TBA, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6122, IE-LEC, 13 Wk, TBA, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1502, AA-LEC, 6.5 Wk 1, TuTh 11:45AM - 2:30PM, H 937 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1505, AAAE-TUT, 6.5 Wk 1, MoWe 4:15PM - 5:55PM, MB S1.235 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1504, AAAF-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, MB S1.430 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1501, ABAG-TUT, 6.5 Wk 1, MoWe 8:45AM - 10:25AM, MB S1.401 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1503, ABAH-TUT, 6.5 Wk 1, MoWe 4:15PM - 5:55PM, FG B070 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3472, CC-LEC, 6.5 Wk 2, TuTh 11:45AM - 2:30PM, H 531 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3473, CCCE-TUT, 6.5 Wk 2, TuTh 2:45PM - 4:35PM, H 433 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3474, CCCF-TUT, 6.5 Wk 2, TuTh 2:45PM - 4:35PM, FG B030 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2310, T-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, MB S2.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2309, T TA-TUT, 13 Wk, Tu 8:45AM - 10:25AM, MB 3.430 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2308, T TB-TUT, 13 Wk, Th 8:45AM - 10:25AM, MB S2.115 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2312, X-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, H 531 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2306, X XA-TUT, 13 Wk, Tu 8:45AM - 10:25AM, FG B070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2305, X XB-TUT, 13 Wk, Th 8:45AM - 10:25AM, FG B070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2304, Y-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, H 531 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2311, Y YA-TUT, 13 Wk, We 8:45AM - 10:25AM, MB S1.235 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2307, Y YB-TUT, 13 Wk, We 8:45AM - 10:25AM, MB S1.401 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[7821, W-LEC, 13 Wk, MoWe 8:45AM - 10:00AM, FG B050 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7822, W WA-TUT, 13 Wk, Th 8:20AM - 10:00AM, H 401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7823, W WB-TUT, 13 Wk, Th 4:15PM - 5:55PM, MB 2.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1508, BL-LEC, 6.5 Wk 1, TBA, ONLINE, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1507, BL E-TUT, 6.5 Wk 1, TuTh 1:15PM - 2:05PM, H 521 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1506, BL F-TUT, 6.5 Wk 1, TuTh 2:45PM - 3:35PM, H 521 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3285, BL G-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:05PM, H 521 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3844, BL H-TUT, 6.5 Wk 1, TuTh 6:30PM - 7:20PM, H 521 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[6337, BL-LEC, 13 Wk, TBA, ONLINE, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6338, BL A-TUT, 13 Wk, Mo 10:15AM - 11:05AM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6339, BL B-TUT, 13 Wk, We 10:15AM - 11:05AM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6340, BL C-TUT, 13 Wk, Fr 1:15PM - 2:05PM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6341, BL D-TUT, 13 Wk, We 1:15PM - 2:05PM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6342, BL E-TUT, 13 Wk, Th 1:15PM - 2:05PM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6343, BL F-TUT, 13 Wk, We 2:15PM - 3:05PM, H 427 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2272, BL-LEC, 13 Wk, TBA, ONLINE, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2273, BL A-TUT, 13 Wk, Fr 3:15PM - 4:05PM, MB S2.401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2274, BL B-TUT, 13 Wk, Fr 4:15PM - 5:05PM, MB S2.401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2270, BL C-TUT, 13 Wk, Fr 3:15PM - 4:05PM, MB S1.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2271, BL D-TUT, 13 Wk, Fr 4:15PM - 5:05PM, MB S1.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1516, CC-LEC, 6.5 Wk 2, MoWe 6:30PM - 9:00PM, H 435 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1509, CCCE-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, H 629 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1515, CCCF-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, H 631 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1512, CCCG-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, H 401 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1513, CD-LEC, 6.5 Wk 2, MoWe 6:30PM - 9:00PM, H 535 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1514, CDCE-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, H 403 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1510, CDCF-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, H 423 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1511, CDCG-TUT, 6.5 Wk 2, MoWe 9:15PM - 10:05PM, FG B055 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2313, FF-LEC, 13 Wk, Mo 5:45PM - 8:15PM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2314, FFFA-TUT, 13 Wk, Tu 5:45PM - 6:35PM, H 401 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2315, FFFB-TUT, 13 Wk, We 5:45PM - 6:35PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6734, FFFC-TUT, 13 Wk, Tu 7:15PM - 8:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2316, R-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2321, R RA-TUT, 13 Wk, Mo 11:45AM - 12:35PM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2318, R RB-TUT, 13 Wk, Mo 10:15AM - 11:05AM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6735, R RC-TUT, 13 Wk, Mo 10:15AM - 11:05AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2319, S-LEC, 13 Wk, MoWe 1:15PM - 2:30PM, FG C080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2320, S SA-TUT, 13 Wk, Tu 1:15PM - 2:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2317, S SB-TUT, 13 Wk, Th 1:15PM - 2:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6736, S SC-TUT, 13 Wk, Tu 1:15PM - 2:05PM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2279, T-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2282, T TA-TUT, 13 Wk, Fr 10:15AM - 11:05AM, H 441 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2281, T TB-TUT, 13 Wk, Fr 10:15AM - 11:05AM, MB 5.215 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4967, T TC-TUT, 13 Wk, Fr 10:15AM - 11:05AM, MB 6.425 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2280, UU-LEC, 13 Wk, Fr 5:45PM - 8:15PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2283, UUUA-TUT, 13 Wk, Fr 2:45PM - 3:35PM, H 523 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2278, UUUB-TUT, 13 Wk, Mo 2:45PM - 3:35PM, MB 6.425 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4968, UUUC-TUT, 13 Wk, Mo 2:45PM - 3:35PM, H 429 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2277, W-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, FG C070 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2276, W WA-TUT, 13 Wk, We 8:45AM - 9:35AM, H 523 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2275, W WB-TUT, 13 Wk, Fr 8:45AM - 9:35AM, H 429 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4969, W WC-TUT, 13 Wk, Fr 8:45AM - 9:35AM, H 523 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1517, AA-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 531 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1520, AAAE-TUT, 6.5 Wk 1, TuTh 9:10PM - 10:00PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1521, AAAF-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:05PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3143, AAAG-TUT, 6.5 Wk 1, TuTh 2:45PM - 3:35PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3669, AAAH-TUT, 6.5 Wk 1, TuTh 1:15PM - 2:05PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3475, AB-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 415 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3476, ABAH-TUT, 6.5 Wk 1, TuTh 9:10PM - 10:00PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3477, ABAI-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:05PM, TBA, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1522, CC-LEC, 6.5 Wk 2, TuTh 6:30PM - 9:00PM, H 531 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1519, CCCE-TUT, 6.5 Wk 2, TuTh 9:10PM - 10:00PM, H 817 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1518, CCCF-TUT, 6.5 Wk 2, TuTh 9:10PM - 10:00PM, H 831 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3310, CCCG-TUT, 6.5 Wk 2, TuTh 9:10PM - 10:00PM, H 849 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3311, CCCH-TUT, 6.5 Wk 2, TuTh 9:10PM - 10:00PM, H 917 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3876, CCCI-TUT, 6.5 Wk 2, Fr 10:15AM - 12:05PM, H 917 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4401, CDDE-TUT, 6.5 Wk 2, MoWe 9:10PM - 10:00PM, H 817 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4402, CDDF-TUT, 6.5 Wk 2, MoWe 9:10PM - 10:00PM, H 831 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4403, CDDG-TUT, 6.5 Wk 2, MoWe 9:10PM - 10:00PM, H 849 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4404, CDDH-TUT, 6.5 Wk 2, MoWe 9:10PM - 10:00PM, H 917 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4405, CDDI-TUT, 6.5 Wk 2, Fr 1:15PM - 3:05PM, H 917 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2330, F-LEC, 13 Wk, TuTh 4:15PM - 5:30PM, MB 1.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
